Country Name,Continent,OECD,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Italy,Europe,T,10.80000019,9.600000381,9.199999809,8.899999619,7.900000095,7.699999809,6.800000191,6.099999905,6.699999809,7.800000191,8.399999619,8.399999619,10.69999981,12.19999981,12.5
Jamaica,North America,F,15.5,15,14.30000019,11.69999981,11.39999962,10.89999962,9.600000381,9.399999619,10.60000038,11.39999962,12.39999962,12.69999981,13.69999981,15,13.19999981
Jordan,Asia,F,13.69999981,15.80000019,16.20000076,15.39999962,12.39999962,14.89999962,14,13.10000038,12.69999981,12.89999962,12.5,12.89999962,12.19999981,12.60000038,11.10000038
Japan,Asia,T,4.800000191,5,5.400000095,5.199999809,4.699999809,4.400000095,4.099999905,3.900000095,4,5,5,4.5,4.300000191,4,3.700000048
Kazakhstan,Asia,F,12.80000019,10.39999962,9.300000191,8.800000191,8.399999619,8.100000381,7.800000191,7.300000191,6.599999905,6.599999905,5.800000191,5.400000095,5.300000191,5.199999809,4.099999905
Kenya,Africa,F,9.800000191,9.699999809,9.699999809,9.600000381,9.600000381,9.5,9.5,9.399999619,9.399999619,9.399999619,9.300000191,9.199999809,9.199999809,9.100000381,9.199999809
Kyrgyz Republic,Asia,F,7.5,7.800000191,12.5,9.899999619,8.5,8.100000381,8.300000191,8.199999809,8.199999809,8.399999619,8.600000381,8.5,8.399999619,8.300000191,8.100000381
Cambodia,Asia,F,2.5,1.700000048,2,2.400000095,1.799999952,1.299999952,0.899999976,0.600000024,0.300000012,0.100000001,0.400000006,0.300000012,0.200000003,0.300000012,0.400000006
"Korea, Rep.",Asia,T,4.400000095,4,3.299999952,3.599999905,3.700000048,3.700000048,3.400000095,3.200000048,3.200000048,3.599999905,3.700000048,3.400000095,3.200000048,3.099999905,3.5
Kuwait,Asia,F,0.800000012,0.800000012,1.100000024,1.299999952,1.700000048,2,1.299999952,1.5,1.799999952,1.600000024,1.799999952,3.599999905,3.400000095,3.200000048,3
Lao PDR,Asia,F,1.899999976,1.899999976,1.799999952,2.099999905,2.400000095,1.399999976,1.399999976,1.399999976,1.399999976,1.399999976,1.399999976,1.399999976,1.399999976,1.299999952,1.399999976
Lebanon,Asia,F,8.899999619,8.199999809,8.199999809,8.5,7.900000095,8.199999809,8.399999619,9,7.199999809,6.199999809,6.199999809,6.199999809,6.199999809,6.199999809,6.400000095
Liberia,Africa,F,4.199999809,4.199999809,4.199999809,4.099999905,4,4.900000095,4.099999905,5.599999905,5.099999905,4.599999905,3.700000048,3.700000048,3.700000048,3.700000048,3.799999952
Libya,Africa,F,19.70000076,19.70000076,19.70000076,19.70000076,19.60000038,19.5,19.29999924,19.10000038,18.79999924,18.60000038,18.5,17.70000076,19.20000076,19.20000076,19.20000076
Sri Lanka,Asia,F,7.699999809,7.900000095,8.800000191,8.199999809,8.399999619,7.699999809,6.5,6,5.199999809,5.900000095,4.900000095,4.199999809,4,4.400000095,4.599999905
Lesotho,Africa,F,26.60000038,36.90000153,33,38.59999847,36,36.40000153,32.5,26.39999962,25.29999924,28.5,28.29999924,30.20000076,27.20000076,24.60000038,26.20000076
Lithuania,Europe,F,15.89999962,16.79999924,13,12.89999962,11.30000019,8.300000191,5.599999905,4.300000191,5.800000191,13.69999981,17.79999924,15.30000019,13.19999981,11.80000019,11.30000019
Luxembourg,Europe,T,2.299999952,1.799999952,2.599999905,3.700000048,5.099999905,4.5,4.699999809,4.099999905,5.099999905,5.099999905,4.400000095,4.900000095,5.099999905,5.900000095,6.099999905
Latvia,Europe,F,14.19999981,13.10000038,13.19999981,10.60000038,9.899999619,8.899999619,6.800000191,6,7.400000095,17.10000038,18.70000076,16.20000076,14.89999962,11.89999962,10
"Macao SAR, China",Asia,F,6.699999809,6.5,6.400000095,6.099999905,4.900000095,4.199999809,3.700000048,3,3,3.5,2.799999952,2.599999905,2,1.799999952,1.5
Morocco,Africa,F,13.60000038,12.5,11.60000038,11.89999962,10.80000019,11,9.699999809,9.800000191,9.600000381,9.100000381,9.100000381,8.899999619,9,9.199999809,10.19999981
Moldova,Europe,F,8.5,7.300000191,6.800000191,7.900000095,8.100000381,7.300000191,7.400000095,5.099999905,4,6.400000095,7.400000095,6.699999809,5.599999905,5.099999905,3.400000095
